"Type","Recipe","Sales Price","Effect","Stamina Recovery","Holiday Gift","Bazaar Trend","Favorite Gift","Loved Gift","Liked Gift","Ingredient1","Ingredient2","Ingredient3","Ingredient4","IngredientA"
"Mains","Omelet","721","None","Moderate","","","","","","Egg|Silkie Egg","Butter|Herb Butter|Butter +","","","Onion|Tomato|Milk|Buffalo Milk|Salt|Pepper"
"Soups","Vichyssoise Soup","709","Run Speed Up Lv. 2","Slight","","","","","","Potato","Onion","Milk|Buffalo Milk","","Butter|Herb Butter|Butter +|Salt|Pepper"
"Sides","Croquettes","709","Chat Friendship Boost Lv. 2","Slight","","","","","","Potato","Breadcrumbs|White Breadcrumbs","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","","Onion|Cabbage|Egg|Silkie Egg|Sugar|Salt|Pepper"
"Salads","Mashed Potatoes","677","Watering Rare Crop % Lv. 2","Slight","","","","Sophie","","Potato","Butter|Herb Butter|Butter +","","","Milk|Buffalo Milk|Mint|Salt|Pepper"
"Sides","Buttered Potato","677","Max Stamina Up Lv. 2","Slight","","","","","","Potato","Butter|Herb Butter|Butter +","","","Corn|Garlic|Soy Sauce|Salt|Seaweed|Urchin"
"Other","Happy Mushroom Fry","662","Happy Energy Gain Lv. 2","Slight","","","","","","Shiitake Mushroom|Shimeji Mushroom|Common Mushroom|Porcini Mushroom|Morel Mushroom|Matsutake Mushroom|Monarch Mushroom","Salt","","","Sugar|Salt|Walnut|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Sides","Baguettes","662","Max Stamina Up Lv. 2","Slight","","","","","","Wheat Flour","Salt","","","Nut Oil|Herb Oil|Olive Oil|Pumpkin Oil|Grape Oil"
"Mains","Sushi","657","None","Moderate","","","","","","Sashimi","Cooked Rice","Vinegar","","Cucumber|Soy Sauce|Sugar|Salt|Seaweed"
"Mains","Tomato Fondue","650","None","Moderate","","","","","","Tomato","Bread|White Bread|Baguettes|Focaccia Bread","Broccoli|Potato|Asparagus|Red Bell Pepper|Carrot|Common Mushroom|Pumpkin","","Garlic|Salt|Pepper"
"Mains","Herb Rice Porridge","647","None","Moderate","","Green-Colored Recipes","","","","Rice","Salt","Mint|Chamomile|Lavender","","Green Onion|Egg|Silkie Egg"
"Mains","Fruit Sandwich","647","None","Moderate","","Green-Colored Recipes","Madeleine","","","Bread|White Bread|Baguettes|Focaccia Bread","Cherry|Blueberry|Green Grapes|Strawberry|Mango|Pineapple|Banana|Peach|Orange|Melon","Cherry|Blueberry|Green Grapes|Strawberry|Mango|Pineapple|Banana|Peach|Orange|Melon","","Milk|Buffalo Milk|Mint|Chocolate|Sugar"
"Other","Orange Tea","642","Pet Training Up Lv. 2","Slight","Hearth Day","","","","","Orange Tea Tin","","","","Lemon|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
"Sides","Hash Browns","632","Max Stamina Up Lv. 2","Slight","","","","","","Potato","Wheat Flour","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","","Tomato|Mayonnaise|Herb Mayonnaise|Mayonnaise +|Wheat Flour|Salt|Pepper"
"Desserts","Strawberry Mochi","618","Petting Happiness Up Lv. 2","Slight","Pumpkin Festival","","","Madeleine","","Mochi","Strawberry","","","Refined Rice Flour|Sugar|Salt"
"Mains","Herb Pasta","616","None","Moderate","","","","","","Wheat Flour","Mint|Chamomile|Lavender","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","","Tomato|Cucumber|Garlic|Avocado|Cheese|Herb Cheese|Cheese +"
"Sides","Steamed Muffin","609","Max Stamina Up Lv. 2","Slight","","","","","","Wheat Flour","Egg|Silkie Egg","Sweet Potato","","Milk|Buffalo Milk|Sugar|Salt"
"Sides","Sautéed Cauliflower","602","Max Stamina Up Lv. 2","Slight","","","","","","Cauliflower","","","","Garlic|Nut Oil|Herb Oil|Olive Oil|Salt|Pepper"
"Desserts","Cake","601","Petting Happiness Up Lv. 2","Slight","Pumpkin Festival","","","","","Wheat Flour","Egg|Silkie Egg","Milk|Buffalo Milk","","Strawberry|Lemon|Mango|Cheese|Herb Cheese|Cheese +|Butter|Herb Butter|Butter +"
"Desserts","Egg Tart","601","Petting Happiness Up Lv. 2","Slight","Pumpkin Festival","","","","","Egg|Silkie Egg","Milk|Buffalo Milk","Wheat Flour","","Sugar|Butter|Herb Butter|Butter +|Almond"
"Other","Blueberry Tea","601","Pet Training Up Lv. 2","Slight","Hearth Day","","","","","Blueberry Tea Tin","","","","Lemon|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
"Salads","Marinated Peppers","598","Stamina Saver Lv. 2","Slight","","","","Sophie","","Red Bell Pepper","Vinegar","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","","Radish|Onion|Olive Oil|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Desserts","Dango","588","Petting Happiness Up Lv. 2","Slight","Pumpkin Festival","","","","","Refined Rice Flour","","","","Rice Flour|Soybean Flour|Sugar"
"Other","Strawberry Tea","586","Chat Friendship Boost Lv. 2","Slight","Hearth Day","","","","","Strawberry Tea Tin","","","","Lemon|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
"Other","Olive Tea","586","Pet Training Up Lv. 2","Slight","Hearth Day","Green-Colored Recipes","","","","Olive Tea Tin","","","","Lemon|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
"Sides","Broccoli & Garlic Sauté","563","Max Stamina Up Lv. 2","Slight","","Green-Colored Recipes","","Clara","","Broccoli","Garlic","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","","Soy Sauce|Salt|Pepper|Nut Oil|Herb Oil|Olive Oil|Grape Oil"
"Mains","Rice Porridge","544","None","Moderate","","","","","","Rice","Salt","","","Green Onion|Egg|Silkie Egg"
"Desserts","Walnut Cookies","524","Petting Happiness Up Lv. 2","Slight","Pumpkin Festival","","","","","Wheat Flour","Egg|Silkie Egg","Walnut","","Milk|Buffalo Milk|Butter|Herb Butter|Butter +|Sugar"
"Sides","Popcorn","508","Chat Friendship Boost Lv. 2","Slight","Pumpkin Festival","","","","","Corn","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","","","Butter|Herb Butter|Butter +|Salt|Curry Powder|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Desserts","Soy Milk Pudding","501","Petting Happiness Up Lv. 2","Slight","Pumpkin Festival","","Kagetsu","","","Milk|Buffalo Milk","Egg|Silkie Egg","Soy Milk","","Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
"Soups","Gazpacho Soup","490","Run Speed Up Lv. 1","Slight","","","","","","Tomato","Garlic","Bread|White Bread|Baguettes|Focaccia Bread","","Cucumber|Onion|Green Bell Pepper|Olive Oil|Salt"
"Mains","Simmered Fish","451","None","Moderate","","","","","","Bluegill|Willow Shiner|Killifish|Stone Moroko|Pond Smelt|Sweetfish|Eel|Marbled Eel|Goldfish|Crucian Carp","Soy Sauce","","","Green Onion|Burdock|Sugar"
"Other","Lavender Tea","448","Chat Friendship Boost Lv. 1","Slight","Hearth Day","","","","","Lavender Tea Tin","","","","Lemon|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
"Sides","Potato Pancakes","429","Max Stamina Up Lv. 1","Slight","","","","","","Potato","Wheat Flour","Egg|Silkie Egg","","Onion|Sugar|Salt|Nut Oil|Herb Oil|Olive Oil"
"Other","Pineapple Juice","429","Chat Friendship Boost Lv. 1","Slight","","","","","","Pineapple","","","","Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Desserts","Herb Cookies","415","Petting Happiness Up Lv. 1","Slight","Pumpkin Festival","","","","","Wheat Flour","Egg|Silkie Egg","Mint|Chamomile|Lavender","","Milk|Buffalo Milk|Butter|Herb Butter|Butter +|Sugar"
"Salads","Mixed Salad","404","Stamina Saver Lv. 1","Slight","","Green-Colored Recipes","","Sophie","","Tomato","Cucumber","Cucumber|Onion|Asparagus|Tomato|Red Bell Pepper|Carrot|Turnip|Sweet Potato|Pumpkin|Eggplant","","Avocado|Corn|Cheese|Herb Cheese|Cheese +"
"Other","Black Tea","401","Watering Rare Crop % Lv. 1","Slight","Hearth Day","","","","","Black Tea Tin","","","","Lemon|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
"Other","Sencha Tea","401","Chat Friendship Boost Lv. 1","Slight","Hearth Day","Green-Colored Recipes","","","Madeleine","Sencha Tea Tin","","","","Milk|Buffalo Milk|Sugar"
"Other","Oolong Tea","401","Chat Friendship Boost Lv. 1","Slight","Hearth Day","","","","Madeleine","Oolong Tea Tin","","","","Milk|Buffalo Milk|Sugar|Mint|Chamomile"
"Other","Pu'er Tea","401","Chat Friendship Boost Lv. 1","Slight","Hearth Day","","","","Madeleine","Pu'er Tea Tin","","","","Milk|Buffalo Milk|Sugar"
"Sides","Fried Egg","396","Max Stamina Up Lv. 1","Slight","","","","","","Egg|Silkie Egg","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","","","Tomato|Mayonnaise|Herb Mayonnaise|Mayonnaise +|Soy Sauce|Salt|Pepper"
"Desserts","Toasted Mochi","390","Petting Happiness Up Lv. 1","Slight","Pumpkin Festival","","","","","Mochi","","","","Soybean Flour|Sugar|Soy Sauce|Seaweed"
"Desserts","Chestnut Paste","390","Petting Happiness Up Lv. 1","Slight","Pumpkin Festival","","","","","Bottled Chestnuts","","","","Sweet Potato|Sugar|Salt"
"Other","Chestnut Juice","390","Chat Friendship Boost Lv. 1","Slight","","","","","","Bottled Chestnuts","","","","Milk|Buffalo Milk|Sugar|Chocolate|Soybean Flour"
"Other","Hot Coffee","380","Chat Friendship Boost Lv. 1","Slight","Hearth Day","","","","Madeleine","Coffee Pack","","","","Butter|Herb Butter|Butter +|Sugar|Chocolate|Soy Milk|Ice Cream"
"Mains","Sandwich","375","None","Moderate","","Green-Colored Recipes","","","","Bread|White Bread|Baguettes|Focaccia Bread","Tomato","Cucumber","","Boiled Egg|Cheese|Herb Cheese|Cheese +|Butter|Herb Butter|Butter +|Mayonnaise|Herb Mayonnaise|Mayonnaise +"
"Mains","Onigiri","370","None","Moderate","","","","","","Cooked Rice","Seaweed","","","Soybean|Shimeji Mushroom|Matsutake Mushroom|Salmon|Salt"
"Other","Matcha Tea","364","Chat Friendship Boost Lv. 1","Slight","Hearth Day","Green-Colored Recipes","","","Madeleine","Matcha Tea Tin","","","","Milk|Buffalo Milk|Sugar"
"Sides","French Fries","355","Chat Friendship Boost Lv. 1","Slight","","","","","","Potato","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","","","Tomato|Mayonnaise|Herb Mayonnaise|Mayonnaise +|Wheat Flour|Salt|Pepper"
"Other","Mint Tea","344","Chat Friendship Boost Lv. 1","Slight","Hearth Day","","","","","Mint Tea Tin","","","","Lemon|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
"Other","Chamomile Tea","344","Chat Friendship Boost Lv. 1","Slight","Hearth Day","","","","","Chamomile Tea Tin","","","","Lemon|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
"Mains","Fried Eggplant","342","None","Moderate","","","","","","Eggplant","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","","","Green Onion|Soy Sauce|Salt"
"Mains","Chestnut Rice","329","None","Moderate","","","","","","Cooked Rice","Chestnut","","","Sweet Potato|Bottled Chestnuts|Salt"
"Mains","Pasta","328","None","Moderate","","","","","","Wheat Flour","Egg|Silkie Egg","","","Tomato|Cucumber|Garlic|Eggplant|Cheese|Herb Cheese|Cheese +"
"Desserts","Pudding","328","Petting Rare Item % Lv. 1","Slight","Pumpkin Festival","","","","","Milk|Buffalo Milk","Egg|Silkie Egg","","","Sugar|Butter|Herb Butter|Butter +"
"Desserts","Cookies","328","Petting Rare Item % Lv. 1","Slight","Pumpkin Festival","","","","","Wheat Flour","Egg|Silkie Egg","","","Milk|Buffalo Milk|Butter|Herb Butter|Butter +|Sugar"
"Salads","Onion Salad","325","Watering Rare Crop % Lv. 1","Slight","","","","Sophie","","Onion","","","","Cucumber|Tomato|Turnip"
"Other","Honey Juice","325","Stamina Saver Lv. 1","Slight","","","","","","Honey|Invigorating Honey|Mellow Honey|Royal Honey","","","","Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +"
"Sides","Poached Egg","301","Chat Friendship Boost Lv. 1","Slight","","","","","","Egg|Silkie Egg","Soy Sauce","","","Green Onion|Nut Oil|Herb Oil|Olive Oil|Salt"
"Salads","Turnip Salad","260","Stamina Saver Lv. 1","Slight","","Green-Colored Recipes","","Sophie","","Turnip","","","","Cucumber|Tomato|Red Bell Pepper"
"Other","Walnut Juice","260","Chat Friendship Boost Lv. 1","Slight","","","","","","Bottled Walnuts","","","","Banana|Milk|Buffalo Milk|Mint|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Other","Banana Juice","260","Pet Training Up Lv. 1","Slight","","","","","","Banana","","","","Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Other","Mango Juice","260","Pet Training Up Lv. 1","Slight","","","","","","Mango","","","","Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Mains","Egg Over Rice","248","None","Moderate","","","","","","Egg|Silkie Egg","Cooked Rice","","","Green Onion|Cheese|Herb Cheese|Cheese +|Soy Sauce|Salt|Pepper"
"Sides","Miso Glazed Eggplant","246","Max Stamina Up Lv. 1","Slight","","","","","","Eggplant","Miso","","","Soy Sauce|Sugar|Oil"
"Sides","Toast","234","Max Stamina Up Lv. 1","Slight","","","","","","Bread|White Bread","","","","Butter|Herb Butter|Butter +|Mayonnaise|Herb Mayonnaise|Mayonnaise +|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Other","Grape Juice","228","Pet Training Up Lv. 1","Slight","","","","","","Red Grapes","","","","Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Other","Apple Juice","221","Pet Training Up Lv. 1","Slight","","","","","","Apple","","","","Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Sides","Tofu","205","Max Stamina Up Lv. 1","Slight","","","","","","Soybean","Soy Milk","","","Green Onion|Soy Sauce|Salt|Oil|Seaweed|Urchin"
"Sides","Baked Sweet Potato","202","Chat Friendship Boost Lv. 1","Slight","","","","","","Sweet Potato","","","","Sugar|Butter|Herb Butter|Butter +|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Soy Sauce|Oil"
"Sides","Fried Mushrooms","195","Max Stamina Up Lv. 1","Slight","","","","","","Shiitake Mushroom|Shimeji Mushroom|Common Mushroom|Porcini Mushroom|Morel Mushroom|Matsutake Mushroom|Monarch Mushroom","","","","Salt|Pepper|Nut Oil|Herb Oil|Olive Oil"
"Sides","Sashimi","195","Rod Durability Up Lv. 1","Slight","","","","","","Amur Minnow|Dace|Pale Chub|Sculpin|Dark Chub|Bitterling|Tamoroko|Rainbow Trout|Silver Carp|Basa","","","","Daikon Radish|Carrot|Soy Sauce"
"Sides","Fish Cake","195","Rod Durability Up Lv. 1","Slight","","","","","","Amur Minnow|Dace|Pale Chub|Sculpin|Dark Chub|Bitterling|Tamoroko|Rainbow Trout|Silver Carp|Basa","","","","Avocado|Cheese|Herb Cheese|Cheese +|Soy Sauce"
"Sides","Bread","195","None","Slight","","","","","Madeleine","Wheat Flour","","","","Milk|Buffalo Milk|Butter|Herb Butter|Butter +|Sugar|Salt"
"Mains","Grilled Fish","195","None","Slight","","","","","","Amur Minnow|Dace|Pale Chub|Sculpin|Dark Chub|Bitterling|Tamoroko|Rainbow Trout|Silver Carp|Basa","","","","Daikon Radish|Soy Sauce"
"Other","Warm Milk","195","Chat Friendship Boost Lv. 1","Slight","Hearth Day","","","","","Milk|Buffalo Milk","","","","Banana|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Chocolate|Soybean Flour"
"Other","Green Tea","182","Chat Friendship Boost Lv. 1","Slight","Hearth Day","","","","Madeleine","Green Tea Tin","","","","Milk|Buffalo Milk|Sugar"
"Other","Cherry Juice","182","Pet Training Up Lv. 1","Slight","","","","","","Cherry","","","","Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Other","Peach Juice","182","Pet Training Up Lv. 1","Slight","","","","","","Peach","","","","Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Other","Orange Juice","180","Pet Training Up Lv. 1","Slight","","","","","","Orange","","","","Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Other","Lemon Juice","176","Pet Training Up Lv. 1","Slight","","","","","","Lemon","","","","Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Other","Blueberry Juice","163","Pet Training Up Lv. 1","Slight","","","","","","Blueberry","","","","Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Other","Strawberry Juice","156","Chat Friendship Boost Lv. 1","Slight","","","","","","Strawberry","","","","Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Salads","Herb Salad","137","Stamina Saver Lv. 1","Slight","","Green-Colored Recipes","Sophie","","","Mint|Chamomile|Lavender","Mint|Chamomile|Lavender","","","Broccoli|Tomato|Boiled Egg|Olive Oil|Salt|Pepper"
"Soups","Herb Soup","137","Run Speed Up Lv. 1","Slight","Hearth Day","","","","","Mint|Chamomile|Lavender","Mint|Chamomile|Lavender","","","Onion|Cabbage|Carrot|Broccoli|Salt|Olive Oil"
"Other","Happy Forest Mix","130","Happy Energy Gain Lv. 1","Slight","","","","","","Walnut","","","","Sugar|Salt|Walnut|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Salads","Tomato Salad","126","Stamina Saver Lv. 1","Slight","","","","Sophie","","Tomato","Mint|Chamomile|Lavender","","","Cucumber|Red Bell Pepper|Cheese|Herb Cheese|Cheese +"
"Soups","Egg Drop Soup","117","Run Speed Up Lv. 1","Slight","Hearth Day","","","","","Egg|Silkie Egg","","","","Green Onion|Soy Sauce|Salt|Pepper|Oil"
"Sides","Boiled Egg","117","Max Stamina Up Lv. 1","Slight","","","","","","Egg|Silkie Egg","","","","Broccoli|Mayonnaise|Herb Mayonnaise|Mayonnaise +|Salt"
"Sides","Cooked Rice","91","None","Slight","","","","","","Rice","","","","Salt|Simmered Seaweed"
"Other","Soy Milk","85","Max Stamina Up Lv. 1","Slight","","","","","","Soybean","","","","Banana|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Black Tea Tin|Sugar|Soybean Flour"
"Other","Tomato Juice","55","Chat Friendship Boost Lv. 1","Slight","","","","","","Tomato","","","","Lemon|Mint|Salt"
