Type,Recipe,Sales Price,Effect,Stamina Recovery,Holiday Gift,Ingredient1,Ingredient2,Ingredient3,Ingredient4,IngredientA
Other,Grape Juice,228,Pet Training Up Lv. 1,Slight,,Red Grapes,,,,Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey
Other,Apple Juice,221,Pet Training Up Lv. 1,Slight,,Apple,,,,Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey
Other,Cherry Juice,182,Pet Training Up Lv. 1,Slight,,Cherry,,,,Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey
Other,Orange Juice,180,Pet Training Up Lv. 1,Slight,,Orange,,,,Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey
Other,Blueberry Juice,163,Pet Training Up Lv. 1,Slight,,Blueberry,,,,Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey
Other,Happy Fruit Platter,3274,Happy Energy Gain Lv. 4,Slight,,Heart Watermelon,Cherry|Blueberry|Green Grapes|Strawberry|Mango|Pineapple|Banana|Peach|Orange|Melon,Apple|Red Grapes|Green Grapes|Strawberry|Mango|Pineapple|Banana|Peach|Orange|Melon,,Sugar|Salt|Walnut|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey
Other,Happy Chef Salad,1233,Happy Energy Gain Lv. 3,Slight,,Egg|Silkie Egg,Corn,Onion,Cucumber|Onion|Asparagus|Tomato|Red Bell Pepper|Carrot|Turnip|Sweet Potato|Pumpkin|Eggplant,Sugar|Salt|Walnut|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey
Other,Happy Mushroom Fry,662,Happy Energy Gain Lv. 2,Slight,,Shiitake Mushroom|Shimeji Mushroom|Common Mushroom|Porcini Mushroom|Morel Mushroom|Matsutake Mushroom|Monarch Mushroom,Salt,,,Sugar|Salt|Walnut|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey
Other,Happy Forest Mix,130,Happy Energy Gain Lv. 1,Slight,,Walnut,,,,Sugar|Salt|Walnut|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey
Desserts,Cherry Pie,1404,Petting Happiness Up Lv. 3,Slight,Pumpkin Festival,Wheat Flour,Egg|Silkie Egg,Butter|Herb Butter|Butter +,Cherry,Lemon|Sugar|Salt
Other,Summer Blend Tea,1674,Run Speed Up Lv. 3,Slight,Hearth Day,Summer Blend Tea Tin,,,,Lemon|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar
Desserts,Chocolate-Covered Banana,735,Petting Rare Item Lv. 2,Slight,Pumpkin Festival,Banana,Chocolate,,,Sugar|Oil
Desserts,Apple Pie,1458,Petting Rare Item Lv. 3,Slight,Pumpkin Festival,Wheat Flour,Egg|Silkie Egg,Butter|Herb Butter|Butter +,Apple,Lemon|Sugar|Salt
Other,Cherry Tea,842,Pet Training Up Lv. 2,Slight,Hearth Day,Cherry Tea Tin,,,,Lemon|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar
Salads,Marinated Peppers,598,Stamina Saver Lv. 2,Slight,,Red Bell Pepper,Vinegar,Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil,,Radish|Onion|Olive Oil|Honey|Invigorating Honey|Mellow Honey|Royal Honey
Salads,Tomato Salad,126,Stamina Saver Lv. 1,Slight,,Tomato,Mint|Chamomile|Lavender,,,Cucumber|Red Bell Pepper|Cheese|Herb Cheese|Cheese +
Desserts,Chocolate Cake,1242,Petting Happiness Up Lv. 3,Slight,Pumpkin Festival,Wheat Flour,Egg|Silkie Egg,Milk|Buffalo Milk,Chocolate,Cacao Bean|Butter|Herb Butter|Butter +|Matcha Tea
Other,Pineapple Juice,429,Chat Friendship Boost Lv. 1,Slight,,Pineapple,,,,Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt| Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey
Other,Lemon Juice,176,Pet Training Up Lv. 1,Slight,,Lemon,,,,Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt| Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey
Desserts,Whole Cheesecake,2746,Petting Rare Item % Lv. 4,Moderate,Pumpkin Festival,Wheat Flour,Egg +|Silkie Egg +,Buffalo Milk +,Cheese|Herb Cheese|Cheese +,Lemon|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Butter|Herb Butter|Butter +|Sugar|Cookies
